category,image_path,ground_truth,predicted,score,defect_type
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\broken_large\003.png,broken_large,PASS,4.2564,None
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\broken_large\007.png,broken_large,PASS,3.9583,None
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\broken_large\013.png,broken_large,PASS,4.361,None
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\broken_large\017.png,broken_large,PASS,4.1644,None
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\000.png,good,FAIL,5.2165,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\001.png,good,FAIL,5.3049,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\002.png,good,FAIL,5.6004,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\003.png,good,FAIL,5.4816,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\004.png,good,FAIL,5.1579,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\005.png,good,FAIL,5.4414,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\006.png,good,FAIL,5.7536,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\007.png,good,FAIL,5.6207,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\008.png,good,FAIL,5.783,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\009.png,good,FAIL,5.2421,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\010.png,good,FAIL,5.2646,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\011.png,good,FAIL,5.5561,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\012.png,good,FAIL,5.7353,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\013.png,good,FAIL,5.6045,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\014.png,good,FAIL,6.0089,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\015.png,good,FAIL,5.3505,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\016.png,good,FAIL,5.5942,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\017.png,good,FAIL,5.6222,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\018.png,good,FAIL,5.0324,Contamination
bottle,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\bottle\test\good\019.png,good,FAIL,6.1432,Contamination
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\combined\003.png,combined,PASS,3.7647,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\combined\006.png,combined,PASS,3.8014,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\000.png,good,FAIL,6.1258,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\001.png,good,FAIL,5.4075,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\002.png,good,FAIL,5.6304,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\003.png,good,FAIL,5.8277,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\004.png,good,FAIL,5.1547,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\005.png,good,FAIL,5.4046,Bent Wire
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\006.png,good,FAIL,5.8458,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\007.png,good,FAIL,5.3119,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\008.png,good,FAIL,6.5415,Combined
