epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,286.494,1.45238,2.98936,15.0399,1.30496,0,0.00054,0.01874,0.00024,0.00013,0.00056,0.02009,0.00027,0.00017,0.67732,1.34511,43.7181,0.64873,0,6.394e-05,6.394e-05,6.394e-05
2,510.821,1.38038,2.63398,14.1664,1.21382,0,0.95745,0.02074,0.02437,0.01504,0.95745,0.02074,0.02463,0.01862,0.67807,1.26044,42.3578,0.63698,0,0.000126673,0.000126673,0.000126673
3,684.744,1.4746,2.64496,14.2939,1.24242,0,0.97038,0.02128,0.06049,0.02987,0.97038,0.02128,0.06112,0.02962,0.75871,1.35074,40.3677,0.65165,0,0.00018814,0.00018814,0.00018814
4,866.875,1.4223,2.56924,13.3502,1.20251,0,0.57081,0.06383,0.05574,0.03226,0.62071,0.06235,0.05917,0.03432,0.71172,1.35874,56.4271,0.68537,0,0.000186298,0.000186298,0.000186298
5,1037.48,1.38683,2.38139,12.6036,1.18202,0,0.01059,0.24196,0.03981,0.01776,0.01059,0.24196,0.04978,0.02657,0.71336,1.14422,37.0046,0.6274,0,0.000184397,0.000184397,0.000184397
6,1215.69,1.42286,2.40757,11.6754,1.21148,0,0.48526,0.07335,0.04379,0.02422,0.00672,0.30763,0.03802,0.027,0.68871,1.16181,35.4168,0.67297,0,0.000182496,0.000182496,0.000182496
7,1393.1,1.35823,2.27868,11.4497,1.13568,0,0.40771,0.10988,0.0738,0.03686,0.40653,0.10751,0.05395,0.03401,0.70215,1.22559,40.8536,0.64807,0,0.000180595,0.000180595,0.000180595
8,1570.64,1.32736,2.22633,10.7974,1.12467,0,0.4627,0.12781,0.0866,0.06263,0.4627,0.12781,0.08597,0.06456,0.69207,1.23693,34.0379,0.6665,0,0.000178694,0.000178694,0.000178694
9,1760.89,1.33263,2.25404,9.7114,1.12574,0,0.29513,0.16815,0.06783,0.04055,0.27259,0.16879,0.0636,0.04385,0.72289,1.16346,34.1836,0.68548,0,0.000176794,0.000176794,0.000176794
10,1940.22,1.39265,2.21295,9.25088,1.13551,0,0.16814,0.21303,0.08587,0.05934,0.17656,0.21947,0.10326,0.06679,0.72592,1.22558,28.672,0.65093,0,0.000174893,0.000174893,0.000174893
11,2118.73,1.32169,2.1144,8.30667,1.12194,0,0.38191,0.19532,0.08013,0.0515,0.38145,0.19431,0.08472,0.06174,0.72541,1.21164,29.2425,0.69165,0,0.000172992,0.000172992,0.000172992
12,2296.17,1.29115,2.06178,7.99786,1.08249,0,0.25618,0.2295,0.11715,0.06969,0.25244,0.22115,0.11822,0.08427,0.67532,1.05263,26.3724,0.62205,0,0.000171091,0.000171091,0.000171091
13,2470.9,1.2821,2.02034,7.45006,1.07442,0,0.29041,0.24553,0.15482,0.0859,0.28881,0.25139,0.14626,0.08542,0.70224,1.11631,27.8295,0.63222,0,0.00016919,0.00016919,0.00016919
14,2646.06,1.36433,2.06781,6.96044,1.10811,0,0.40572,0.23897,0.15252,0.09343,0.40826,0.2308,0.17599,0.08993,0.72498,1.06752,23.3289,0.66106,0,0.00016729,0.00016729,0.00016729
15,2813.02,1.26503,2.031,6.27945,1.06742,0,0.52838,0.18028,0.18071,0.11046,0.52838,0.18028,0.17947,0.10562,0.68755,1.11628,86.2324,0.62907,0,0.000165389,0.000165389,0.000165389
16,2995.63,1.24655,1.9602,5.99803,1.04096,0,0.22969,0.32362,0.20979,0.12626,0.22964,0.32227,0.20951,0.13303,0.6735,1.12139,20.8697,0.62924,0,0.000163488,0.000163488,0.000163488
17,3160.56,1.26084,1.95657,5.43961,1.04728,0,0.27645,0.33543,0.15217,0.09468,0.27601,0.3334,0.16444,0.08875,0.64788,1.03551,18.5156,0.60833,0,0.000161587,0.000161587,0.000161587
18,3327.63,1.25418,1.94061,5.17422,1.06327,0,0.29709,0.32291,0.16947,0.09268,0.29709,0.32291,0.17607,0.10037,0.69829,1.03499,18.9169,0.62418,0,0.000159686,0.000159686,0.000159686
19,3495.2,1.18523,1.7686,4.80454,1.00315,0,0.46952,0.2917,0.22142,0.13723,0.46971,0.30234,0.21339,0.13227,0.67056,1.01332,16.3828,0.61401,0,0.000157786,0.000157786,0.000157786
20,3662.62,1.29527,1.94852,4.60027,1.07598,0,0.35604,0.39341,0.22811,0.13952,0.45136,0.32172,0.2192,0.13603,0.65566,1.0731,13.8212,0.60131,0,0.000155885,0.000155885,0.000155885
21,3832.27,1.27693,1.90737,4.45434,1.05446,0,0.34626,0.38061,0.2452,0.14575,0.34326,0.35934,0.23047,0.14574,0.65014,1.04487,16.9566,0.60088,0,0.000153984,0.000153984,0.000153984
22,3992.61,1.2235,1.87333,4.06543,1.04709,0,0.29949,0.37798,0.25773,0.15229,0.3007,0.37104,0.25683,0.1548,0.64897,0.98804,14.4414,0.6047,0,0.000152083,0.000152083,0.000152083
23,4158.51,1.21055,1.8263,3.93898,1.04725,0,0.34906,0.36301,0.25202,0.1452,0.36046,0.35619,0.23739,0.14008,0.63623,0.99469,12.7242,0.59042,0,0.000150182,0.000150182,0.000150182
24,4327.46,1.20529,1.85091,3.75973,1.03789,0,0.25937,0.37856,0.27296,0.16784,0.26165,0.36661,0.28578,0.18071,0.65789,1.01528,12.9547,0.61676,0,0.000148282,0.000148282,0.000148282
25,4496.53,1.15733,1.7709,3.64959,1.02015,0,0.28082,0.38419,0.24367,0.14383,0.28161,0.38425,0.23048,0.13917,0.64609,1.01438,11.4334,0.6184,0,0.000146381,0.000146381,0.000146381
26,4663.29,1.16294,1.78895,3.55088,1.01247,0,0.33516,0.37836,0.27507,0.17519,0.3521,0.35819,0.29053,0.18671,0.63389,1.01629,10.4792,0.58428,0,0.00014448,0.00014448,0.00014448
27,4833.38,1.20111,1.80763,3.35149,1.03213,0,0.37583,0.37332,0.24924,0.15697,0.37428,0.34618,0.25767,0.15263,0.64614,1.01263,8.83484,0.59067,0,0.000142579,0.000142579,0.000142579
28,5004.81,1.14531,1.69621,3.24478,1.0012,0,0.43309,0.38712,0.31772,0.21109,0.43214,0.37571,0.33878,0.20886,0.61338,0.9992,7.70542,0.58052,0,0.000140678,0.000140678,0.000140678
29,5170.02,1.18213,1.73569,3.19592,1.00189,0,0.30104,0.40478,0.25789,0.15832,0.30475,0.39224,0.25988,0.15664,0.62024,0.98767,10.9618,0.58753,0,0.000138778,0.000138778,0.000138778
30,5339.92,1.18722,1.76439,3.11882,1.01926,0,0.38561,0.36505,0.27186,0.17701,0.39197,0.36128,0.27498,0.17346,0.61608,1.03621,7.56169,0.57795,0,0.000136877,0.000136877,0.000136877
31,5510.06,1.17333,1.75864,2.98343,1.00146,0,0.39457,0.41191,0.30522,0.19743,0.39457,0.41191,0.29862,0.18289,0.64669,0.99318,7.67288,0.59965,0,0.000134976,0.000134976,0.000134976
32,5682.36,1.14308,1.76037,2.87779,0.96277,0,0.40476,0.42076,0.34927,0.24336,0.50619,0.34738,0.35679,0.22304,0.6001,0.96015,6.48271,0.57986,0,0.000133075,0.000133075,0.000133075
33,5853.44,1.15433,1.73207,2.76431,0.99588,0,0.45706,0.43818,0.31106,0.1769,0.45025,0.40525,0.28219,0.15797,0.60085,0.98517,7.46626,0.58232,0,0.000131174,0.000131174,0.000131174
34,6024.09,1.12476,1.7209,2.69583,0.97501,0,0.43084,0.42644,0.32172,0.20789,0.42872,0.41344,0.31626,0.20873,0.60906,0.96866,6.9551,0.57863,0,0.000129274,0.000129274,0.000129274
35,6193.34,1.11215,1.62496,2.59298,0.95344,0,0.37931,0.37257,0.32302,0.1899,0.38299,0.37789,0.33907,0.18978,0.61093,0.94637,7.1064,0.59231,0,0.000127373,0.000127373,0.000127373
36,6364.18,1.14835,1.71505,2.64126,0.99717,0,0.49224,0.39441,0.38184,0.22343,0.49175,0.39501,0.38622,0.23056,0.63699,0.97314,6.20892,0.59964,0,0.000125472,0.000125472,0.000125472
37,6535.48,1.13742,1.65767,2.5256,0.98089,0,0.36942,0.47778,0.40073,0.25687,0.5262,0.35318,0.39268,0.24769,0.61645,0.95103,5.3275,0.58492,0,0.000123571,0.000123571,0.000123571
38,6706.05,1.11352,1.60577,2.5151,0.97329,0,0.3784,0.40655,0.38154,0.23846,0.37796,0.40601,0.39356,0.24312,0.6242,0.97263,5.40895,0.60079,0,0.00012167,0.00012167,0.00012167
39,6876.16,1.1311,1.67722,2.45426,0.9746,0,0.48157,0.43912,0.41452,0.24825,0.47417,0.42737,0.39824,0.237,0.62831,0.98382,5.00449,0.59585,0,0.00011977,0.00011977,0.00011977
40,7044.38,1.10267,1.60027,2.32103,0.95465,0,0.40949,0.48149,0.41967,0.25603,0.40794,0.4793,0.41417,0.25325,0.63021,0.97531,5.49343,0.59064,0,0.000117869,0.000117869,0.000117869
41,7212.64,1.14574,1.6548,2.32954,1.00731,0,0.43051,0.50444,0.40916,0.2663,0.4315,0.50562,0.40821,0.25015,0.61918,0.96953,4.66712,0.59242,0,0.000115968,0.000115968,0.000115968
42,7386.78,1.09323,1.65893,2.2439,0.97084,0,0.48308,0.47535,0.41424,0.26544,0.4805,0.47008,0.39332,0.23922,0.61148,0.94419,4.77316,0.57703,0,0.000114067,0.000114067,0.000114067
43,7559.92,1.13074,1.64456,2.27035,1.00299,0,0.38199,0.54273,0.43796,0.2954,0.45796,0.46134,0.42901,0.27868,0.57945,0.94832,4.3277,0.56273,0,0.000112166,0.000112166,0.000112166
44,7735.64,1.084,1.62727,2.18716,0.96424,0,0.477,0.52166,0.4506,0.30478,0.471,0.48873,0.43973,0.27347,0.62061,0.94241,3.92337,0.59789,0,0.000110266,0.000110266,0.000110266
45,7910.1,1.09669,1.62608,2.15508,0.95267,0,0.43884,0.51858,0.48501,0.29523,0.43744,0.50794,0.45787,0.28837,0.63436,0.92669,3.76771,0.59902,0,0.000108365,0.000108365,0.000108365
46,8079.29,1.07475,1.57082,2.02337,0.97182,0,0.48211,0.48619,0.47168,0.28672,0.48211,0.48619,0.44993,0.27697,0.60023,0.91365,4.33607,0.56884,0,0.000106464,0.000106464,0.000106464
47,8247.09,1.05886,1.53412,1.99309,0.95525,0,0.52167,0.45492,0.48584,0.30475,0.5281,0.45306,0.47125,0.29054,0.59587,0.91514,3.31561,0.5647,0,0.000104563,0.000104563,0.000104563
48,8418.35,1.10233,1.58347,2.06962,0.96223,0,0.50426,0.54143,0.44574,0.28104,0.4964,0.51304,0.4198,0.26119,0.6001,0.91853,2.89232,0.56289,0,0.000102662,0.000102662,0.000102662
49,8594.27,1.04686,1.53881,1.95626,0.93956,0,0.46357,0.49105,0.49154,0.30061,0.51831,0.44717,0.46839,0.28876,0.59057,0.90054,3.35247,0.56684,0,0.000100762,0.000100762,0.000100762
50,8770.14,1.06207,1.52223,1.95883,0.95636,0,0.55473,0.48851,0.46351,0.29366,0.5494,0.47247,0.4496,0.27975,0.59548,0.91925,3.50626,0.57318,0,9.88608e-05,9.88608e-05,9.88608e-05
51,8943.51,1.05433,1.50113,1.87182,0.93373,0,0.57901,0.48986,0.47996,0.29842,0.57944,0.50021,0.48281,0.29147,0.6189,0.94227,3.03541,0.59176,0,9.696e-05,9.696e-05,9.696e-05
52,9117.08,1.01986,1.50953,1.78604,0.9284,0,0.56133,0.46233,0.49757,0.31896,0.55762,0.45036,0.5022,0.29727,0.61607,0.91088,3.51561,0.58639,0,9.50592e-05,9.50592e-05,9.50592e-05
53,9292.01,1.0311,1.50067,1.77567,0.92861,0,0.47532,0.5317,0.47639,0.30493,0.45298,0.52055,0.4702,0.29698,0.61409,0.92874,3.29023,0.57426,0,9.31584e-05,9.31584e-05,9.31584e-05
54,9467.45,1.06409,1.5377,1.80483,0.95069,0,0.56174,0.51296,0.50832,0.33265,0.52226,0.50724,0.49532,0.31826,0.59358,0.87735,3.09416,0.56932,0,9.12576e-05,9.12576e-05,9.12576e-05
55,9643.45,1.01607,1.45274,1.73013,0.94069,0,0.60535,0.48851,0.49479,0.31493,0.61597,0.4751,0.4822,0.30586,0.57746,0.88477,3.05206,0.56973,0,8.93568e-05,8.93568e-05,8.93568e-05
56,9813.36,1.0378,1.53739,1.76341,0.94385,0,0.53149,0.53635,0.48379,0.31191,0.52786,0.52706,0.47808,0.29409,0.59827,0.90985,2.74725,0.57628,0,8.7456e-05,8.7456e-05,8.7456e-05
57,9989.13,1.04191,1.51654,1.73854,0.9461,0,0.55896,0.51852,0.50909,0.33376,0.55838,0.53169,0.50165,0.31026,0.59459,0.91531,2.78067,0.58271,0,8.55552e-05,8.55552e-05,8.55552e-05
58,10164.8,1.02999,1.51789,1.70456,0.9583,0,0.59838,0.48703,0.50618,0.33055,0.64005,0.48974,0.50657,0.30556,0.58994,0.91144,2.47665,0.56624,0,8.36544e-05,8.36544e-05,8.36544e-05
59,10340.3,1.06836,1.56919,1.70434,0.96646,0,0.59487,0.53406,0.49725,0.32089,0.63483,0.52515,0.50238,0.30036,0.59205,0.91717,2.40863,0.56091,0,8.17536e-05,8.17536e-05,8.17536e-05
60,10517.2,1.02362,1.52896,1.66247,0.939,0,0.67944,0.49175,0.50703,0.32521,0.44228,0.60878,0.50523,0.29559,0.57893,0.87754,2.46674,0.55777,0,7.98528e-05,7.98528e-05,7.98528e-05
