epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,362.098,1.30273,2.51054,26.4671,1.27191,0,0,0,0,0,0,0,0,0,0.69259,1.39055,64.1296,0.72271,0,6.394e-05,6.394e-05,6.394e-05
2,676.131,1.10503,2.1242,24.4327,1.09785,0,0.02711,0.09037,0.05373,0.03714,0.02661,0.08477,0.05263,0.03979,0.67591,1.39622,60.9264,0.69912,0,0.000126673,0.000126673,0.000126673
3,986.335,1.13528,2.03707,23.5722,1.114,0,0.6583,0.02128,0.06071,0.0468,0.6583,0.02128,0.06111,0.04414,0.68654,1.26756,56.9983,0.70136,0,0.00018814,0.00018814,0.00018814
4,1306.33,1.13801,1.94059,21.5982,1.09881,0,0.32407,0.03735,0.06839,0.03929,0.37146,0.0266,0.06684,0.04735,0.69926,1.27196,51.9564,0.71425,0,0.000186298,0.000186298,0.000186298
5,1629.93,1.09282,1.87487,19.5562,1.07173,0,0.44512,0.07376,0.06843,0.04865,0.44512,0.07376,0.07846,0.05615,0.68383,1.24368,47.3134,0.68778,0,0.000184397,0.000184397,0.000184397
6,1940.46,1.05124,1.7211,17.4907,1.02446,0,0.35358,0.06918,0.11168,0.06664,0.35358,0.06918,0.11011,0.07007,0.69478,1.23463,41.5547,0.69204,0,0.000182496,0.000182496,0.000182496
7,2252.27,1.03553,1.64384,15.806,1.00039,0,0.34382,0.10768,0.119,0.08113,0.34451,0.10887,0.11371,0.0865,0.65984,1.14706,37.371,0.67425,0,0.000180595,0.000180595,0.000180595
8,2570.44,1.08016,1.72305,13.7693,1.03896,0,0.36996,0.11974,0.13499,0.09184,0.27341,0.14266,0.12484,0.08208,0.65961,1.13348,32.5241,0.67818,0,0.000178694,0.000178694,0.000178694
9,2995.82,0.99287,1.57677,12.2699,0.93478,0,0.47816,0.08534,0.1569,0.09572,0.47816,0.08534,0.15671,0.09701,0.65264,1.12708,29.9039,0.64142,0,0.000176794,0.000176794,0.000176794
10,3183.01,0.99617,1.56878,10.8238,0.94566,0,0.45486,0.13485,0.12911,0.08525,0.45097,0.1245,0.13197,0.09093,0.6417,1.21868,24.4538,0.63292,0,0.000174893,0.000174893,0.000174893
11,3382.51,0.93438,1.4697,9.50282,0.89533,0,0.47123,0.15238,0.19041,0.13302,0.47123,0.15238,0.19114,0.12781,0.66263,1.13732,21.9138,0.64527,0,0.000172992,0.000172992,0.000172992
12,3585.64,0.94322,1.43989,8.36983,0.88931,0,0.57206,0.18757,0.18944,0.12471,0.57206,0.18757,0.19018,0.1247,0.64886,1.13333,18.8499,0.63586,0,0.000171091,0.000171091,0.000171091
13,3793.5,0.93728,1.43089,7.43278,0.88494,0,0.59105,0.19898,0.19716,0.14427,0.59351,0.20323,0.203,0.14468,0.66319,1.09274,17.3386,0.64601,0,0.00016919,0.00016919,0.00016919
14,4002.56,0.9166,1.37079,6.60495,0.86491,0,0.50054,0.25777,0.1946,0.12503,0.51378,0.26013,0.19632,0.13636,0.66422,1.06332,14.668,0.63859,0,0.00016729,0.00016729,0.00016729
15,4212.6,0.91944,1.35141,5.9378,0.86028,0,0.52324,0.24034,0.27153,0.16885,0.52186,0.23933,0.26465,0.17447,0.67558,1.06453,14.1075,0.63189,0,0.000165389,0.000165389,0.000165389
16,4422,0.90096,1.29829,5.38336,0.85005,0,0.62393,0.23705,0.26893,0.18215,0.62393,0.23705,0.2614,0.17086,0.67649,1.03777,12.5324,0.62411,0,0.000163488,0.000163488,0.000163488
17,4632.95,0.9052,1.29175,4.88476,0.84915,0,0.53817,0.27426,0.24814,0.16898,0.53817,0.27426,0.24002,0.17026,0.66352,1.07544,13.7718,0.60463,0,0.000161587,0.000161587,0.000161587
18,4844.01,0.88548,1.2538,4.51989,0.83247,0,0.43154,0.28682,0.29118,0.19654,0.61762,0.25723,0.30126,0.20205,0.65346,1.00289,12.5884,0.6241,0,0.000159686,0.000159686,0.000159686
19,5054.54,0.85546,1.24973,4.1542,0.82127,0,0.46899,0.28036,0.25376,0.16588,0.47136,0.28188,0.26612,0.16907,0.64061,1.02414,11.3475,0.60394,0,0.000157786,0.000157786,0.000157786
20,5265.68,0.85997,1.22384,3.80292,0.80483,0,0.50323,0.32943,0.32108,0.20063,0.52391,0.32386,0.32066,0.20277,0.60095,0.98842,9.3578,0.57521,0,0.000155885,0.000155885,0.000155885
21,5475.76,0.85084,1.18107,3.48413,0.80955,0,0.42546,0.3095,0.28625,0.18822,0.42546,0.3095,0.29628,0.19367,0.62852,0.96909,11.9076,0.59738,0,0.000153984,0.000153984,0.000153984
22,5685.42,0.8441,1.2055,3.24198,0.79512,0,0.44823,0.32929,0.3126,0.18378,0.45308,0.30985,0.32166,0.1815,0.64275,0.96403,9.42332,0.62292,0,0.000152083,0.000152083,0.000152083
23,5895.54,0.84016,1.1967,3.01384,0.7842,0,0.56203,0.32594,0.37827,0.22908,0.55548,0.32226,0.38331,0.23182,0.64025,0.97033,8.29379,0.60455,0,0.000150182,0.000150182,0.000150182
24,6106.4,0.82748,1.16577,2.87717,0.7886,0,0.47209,0.35833,0.36544,0.21296,0.4628,0.34532,0.35889,0.20153,0.60823,1.06384,9.67968,0.58779,0,0.000148282,0.000148282,0.000148282
25,6317,0.80481,1.15152,2.76376,0.77263,0,0.47633,0.34339,0.34101,0.22648,0.47633,0.34339,0.36979,0.22171,0.60819,1.03081,7.95353,0.59185,0,0.000146381,0.000146381,0.000146381
