epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,360.554,1.30273,2.51054,26.4671,1.27191,0,0,0,0,0,0,0,0,0,0.69259,1.39055,64.1296,0.72271,0,6.394e-05,6.394e-05,6.394e-05
2,694.34,1.11801,2.11682,24.3576,1.11045,0,0.04272,0.06626,0.03571,0.02759,0.04272,0.06626,0.03571,0.02821,0.66833,1.33798,60.9801,0.68302,0,0.000121607,0.000121607,0.000121607
3,1044.95,1.12488,2.00495,23.5437,1.09864,0,0.46737,0.02128,0.03508,0.02468,0.46737,0.02128,0.03498,0.0281,0.67489,1.28132,57.2845,0.68703,0,0.000172938,0.000172938,0.000172938
4,1366.8,1.11608,1.91859,21.684,1.09586,0,0.37351,0.03451,0.04355,0.0323,0.37351,0.03451,0.04393,0.03107,0.6547,1.19167,52.9215,0.67704,0,0.000163488,0.000163488,0.000163488
5,1640.89,1.06032,1.82821,20.0673,1.04618,0,0.33838,0.04772,0.06503,0.03445,0.33838,0.04772,0.06399,0.04177,0.66789,1.15981,48.7716,0.68797,0,0.000153984,0.000153984,0.000153984
6,1954.03,1.00948,1.68777,18.306,0.99318,0,0.35143,0.06217,0.0872,0.04462,0.34194,0.05792,0.08196,0.05612,0.66069,1.15525,44.8865,0.66951,0,0.00014448,0.00014448,0.00014448
7,2402.1,0.96907,1.57712,16.9308,0.94973,0,0.30862,0.09625,0.10651,0.07226,0.30862,0.09625,0.10573,0.07132,0.64982,1.06737,40.6183,0.65727,0,0.000134976,0.000134976,0.000134976
8,2882.86,0.99493,1.58745,15.0256,0.9609,0,0.3615,0.09728,0.12119,0.06323,0.36057,0.09303,0.11884,0.07181,0.62971,1.0706,38.7947,0.63984,0,0.000125472,0.000125472,0.000125472
9,3387.36,0.94166,1.47262,14.0521,0.89339,0,0.32744,0.1398,0.09043,0.05763,0.35089,0.16776,0.11588,0.07478,0.60509,1.01407,35.4401,0.61998,0,0.000115968,0.000115968,0.000115968
10,3900.17,0.91495,1.43698,12.9062,0.88049,0,0.45417,0.13897,0.13224,0.0736,0.45417,0.13897,0.12961,0.07651,0.61844,1.06367,32.6729,0.61209,0,0.000106464,0.000106464,0.000106464
11,4474.61,0.89667,1.4241,11.7229,0.86955,0,0.56149,0.16572,0.18205,0.11225,0.56334,0.15352,0.17467,0.1156,0.59522,0.98635,30.6606,0.6257,0,9.696e-05,9.696e-05,9.696e-05
12,4964.6,0.84656,1.30219,11.2406,0.8299,0,0.6386,0.16797,0.20698,0.12849,0.69643,0.14772,0.20052,0.13648,0.61745,0.9928,30.7005,0.62654,0,8.7456e-05,8.7456e-05,8.7456e-05
13,5473.46,0.84041,1.25883,10.4333,0.82113,0,0.57965,0.2387,0.19359,0.1151,0.57965,0.2387,0.1833,0.10959,0.59277,0.99864,26.7456,0.59633,0,7.7952e-05,7.7952e-05,7.7952e-05
14,6034.46,0.8221,1.25674,9.71781,0.80548,0,0.67414,0.17531,0.19792,0.12543,0.67414,0.17531,0.19683,0.12982,0.57611,0.95473,25.2801,0.57497,0,6.8448e-05,6.8448e-05,6.8448e-05
15,6594.11,0.79581,1.21069,9.15796,0.78954,0,0.55238,0.21508,0.20618,0.12505,0.55083,0.20981,0.1972,0.13006,0.58403,0.94903,24.4274,0.57218,0,5.8944e-05,5.8944e-05,5.8944e-05
16,7065.25,0.81224,1.21419,8.69511,0.80652,0,0.56971,0.24321,0.28834,0.1955,0.56565,0.24021,0.28855,0.19403,0.56961,0.92618,21.8871,0.56392,0,4.944e-05,4.944e-05,4.944e-05
17,7568.78,0.76545,1.16866,8.44188,0.7713,0,0.58895,0.2614,0.28223,0.19657,0.58895,0.2614,0.28197,0.18626,0.57704,0.90898,22.3213,0.5594,0,3.9936e-05,3.9936e-05,3.9936e-05
18,8084.12,0.75062,1.10499,8.25223,0.74988,0,0.59536,0.27358,0.32435,0.21813,0.59536,0.27358,0.3287,0.2187,0.5838,0.94363,21.441,0.56854,0,3.0432e-05,3.0432e-05,3.0432e-05
19,8538.16,0.72598,1.09038,7.98514,0.74255,0,0.553,0.27072,0.3183,0.21202,0.55362,0.27174,0.31398,0.21187,0.57737,0.91499,21.4018,0.55455,0,2.0928e-05,2.0928e-05,2.0928e-05
20,9046.54,0.70844,1.06785,7.91212,0.71626,0,0.56899,0.31315,0.31421,0.21412,0.56899,0.31315,0.31559,0.21677,0.57405,0.91559,20.9795,0.56121,0,1.1424e-05,1.1424e-05,1.1424e-05
