epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.341,2.11288,3.25003,1.60157,0.08212,0.00803,0.00331,0.0011,1.80927,29.5276,1.07028,0.00065641,0.00065641,0.00065641
2,691.623,2.47286,3.20243,1.7797,0.01822,0.04819,0.00697,0.00136,1.98163,24.3679,1.43551,0.00119209,0.00119209,0.00119209
3,1062.45,2.50679,2.98494,1.81257,0.11125,0.09639,0.02964,0.01103,1.80329,29.16,1.28876,0.00159577,0.00159577,0.00159577
4,1276.94,2.49369,2.9768,1.87766,0.03582,0.11245,0.00995,0.00286,1.60318,40.0155,1.23024,0.001406,0.001406,0.001406
5,1490.02,2.41863,2.80261,1.76019,0.14984,0.12048,0.05381,0.01444,1.73096,12.1274,1.15157,0.001208,0.001208,0.001208
6,1669.71,2.38121,2.55614,1.75667,0.12122,0.14056,0.03465,0.01251,1.62531,13.6512,1.0601,0.00101,0.00101,0.00101
7,1853.09,2.28286,2.41105,1.681,0.42008,0.18876,0.18226,0.06751,1.60328,14.3248,0.98963,0.000812,0.000812,0.000812
8,2064.5,2.2278,2.27353,1.65202,0.32425,0.27172,0.17888,0.07884,1.41007,8.59263,0.91734,0.000614,0.000614,0.000614
9,2257.58,2.07854,2.18138,1.53795,0.42033,0.29317,0.24779,0.10665,1.34184,9.68057,0.89605,0.000416,0.000416,0.000416
10,2426.35,2.03538,2.00834,1.51009,0.53592,0.3061,0.30742,0.13256,1.34671,7.5762,0.88085,0.000218,0.000218,0.000218
